 
2016-10-23, 12:53:18, Cycletime ,Code , 99 ,Info , Sation:1 Frezen Type:4 |Time:151.38 
2016-10-23, 12:54:27, Cycletime ,Code , 99 ,Info , Ontlaad Station:1 naar buffer:2 |Time:69.89 
2016-10-23, 12:55:13, Offset ,Code , 31 ,Info , off:1 x=-1.10 n=-1.68 p=-0.51 P1=-767.63 P2=782.29 
2016-10-23, 12:55:13, Cycletime ,Code , 99 ,Info , Laad Station:1 van Buffer:2 |Time:45.86 
2016-10-23, 12:59:21, Cycletime ,Code , 99 ,Info , Sation:1 Boren Type:4 |Time:248.09 
2016-10-23, 13:01:52, Cycletime ,Code , 99 ,Info , Sation:1 Frezen Type:4 |Time:150.39 
2016-10-23, 13:03:03, Cycletime ,Code , 99 ,Info , Ontlaad Station:1 naar buffer:2 |Time:70.65 
2016-10-23, 13:03:56, Offset ,Code , 31 ,Info , off:1 x=-3.65 n=-3.66 p=-3.65 P1=-765.66 P2=785.43 
2016-10-23, 13:03:56, Cycletime ,Code , 99 ,Info , Laad Station:1 van Buffer:2 |Time:53.55 
2016-10-23, 13:08:03, Cycletime ,Code , 99 ,Info , Sation:1 Boren Type:4 |Time:247.10 
2016-10-23, 13:10:35, Cycletime ,Code , 99 ,Info , Sation:1 Frezen Type:4 |Time:151.34 
2016-10-23, 13:11:44, Cycletime ,Code , 99 ,Info , Ontlaad Station:1 naar buffer:2 |Time:69.74 
2016-10-23, 13:12:37, Offset ,Code , 31 ,Info , off:1 x=-3.71 n=-4.04 p=-3.38 P1=-765.28 P2=785.15 
2016-10-23, 13:12:38, Cycletime ,Code , 99 ,Info , Laad Station:1 van Buffer:2 |Time:53.59 
2016-10-23, 13:16:43, Cycletime ,Code , 99 ,Info , Sation:1 Boren Type:4 |Time:245.10 
2016-10-23, 13:19:13, Cycletime ,Code , 99 ,Info , Sation:1 Frezen Type:4 |Time:149.35 
2016-10-23, 13:20:23, Cycletime ,Code , 99 ,Info , Ontlaad Station:1 naar buffer:2 |Time:70.61 
2016-10-23, 13:21:16, Offset ,Code , 31 ,Info , off:1 x=-3.48 n=-3.66 p=-3.30 P1=-765.65 P2=785.07 
2016-10-23, 13:21:17, Cycletime ,Code , 99 ,Info , Laad Station:1 van Buffer:2 |Time:53.61 
2016-10-23, 13:25:29, Cycletime ,Code , 99 ,Info , Sation:1 Boren Type:4 |Time:252.12 
2016-10-23, 13:28:00, Cycletime ,Code , 99 ,Info , Sation:1 Frezen Type:4 |Time:151.40 
2016-10-23, 13:29:11, Cycletime ,Code , 99 ,Info , Ontlaad Station:1 naar buffer:2 |Time:70.48 
2016-10-23, 13:30:04, Offset ,Code , 31 ,Info , off:1 x=-1.64 n=-1.72 p=-1.56 P1=-767.59 P2=783.33 
2016-10-23, 13:30:04, Cycletime ,Code , 99 ,Info , Laad Station:1 van Buffer:2 |Time:53.64 
2016-10-23, 13:34:09, Cycletime ,Code , 99 ,Info , Sation:1 Boren Type:4 |Time:244.11 
2016-10-23, 13:36:40, Cycletime ,Code , 99 ,Info , Sation:1 Frezen Type:4 |Time:151.31 
