 
2016-10-10, 22:24:08, Cycletime ,Code , 99 ,Info , Ontlaad Station:2 naar buffer:5 |Time:63.48 
2016-10-10, 22:24:48, mBuffer ,Code , 9 ,Info , Buffer:5 vol (rIncr) 
2016-10-10, 22:24:50, mBuffer ,Code , 5 ,Info , Buffer:5 Vol (target) 
2016-10-10, 22:24:50, Cycletime ,Code , 99 ,Info , Ontlaad Station:1 naar buffer:5 |Time:41.20 
2016-10-11, 08:13:58, Main ,Code , 18 ,Info , PP to main 
2016-10-11, 09:28:34, Main ,Code , 18 ,Info , PP to main 
2016-10-11, 09:35:49, Main ,Code , 18 ,Info , PP to main 
2016-10-11, 09:46:33, Main ,Code , 18 ,Info , PP to main 
2016-10-11, 09:50:15, Offset ,Code , 31 ,Info , off:1 x=-2.65 n=-3.74 p=-1.55 P1=-765.58 P2=783.33 
2016-10-11, 09:50:16, Cycletime ,Code , 99 ,Info , Laad Station:1 van Buffer:6 |Time:223.00 
2016-10-11, 09:52:30, Main ,Code , 18 ,Info , PP to main 
2016-10-11, 09:52:30, mSations ,Code , 1 ,Info , Onafgewerkt stuk in station:5 
2016-10-11, 09:53:30, Main ,Code , 18 ,Info , PP to main 
2016-10-11, 09:53:30, mSations ,Code , 1 ,Info , Onafgewerkt stuk in station:5 
2016-10-11, 09:54:15, Main ,Code , 18 ,Info , PP to main 
2016-10-11, 09:55:43, Offset ,Code , 31 ,Info , off:5 x=-2.50 n=-3.66 p=-1.34 P1=-765.66 P2=783.11 
2016-10-11, 09:55:43, Cycletime ,Code , 99 ,Info , Laad Station:5 van Buffer:6 |Time:88.26 
2016-10-11, 09:59:00, Cycletime ,Code , 99 ,Info , Sation:5 Boren Type:6 |Time:196.89 
2016-10-11, 10:07:58, Cycletime ,Code , 99 ,Info , Sation:5 Frezen Type:6 |Time:537.74 
2016-10-11, 10:09:21, Cycletime ,Code , 99 ,Info , Ontlaad Station:5 naar buffer:6 |Time:24.42 
2016-10-11, 10:09:30, mBuffer ,Code , 8 ,Info , Buffer:6 leeg (rDecr) 
2016-10-11, 10:10:07, Offset ,Code , 31 ,Info , off:5 x=-1.06 n=-3.75 p=1.63 P1=-765.57 P2=780.14 
2016-10-11, 10:10:07, Cycletime ,Code , 99 ,Info , Laad Station:5 van Buffer:6 |Time:46.84 
2016-10-11, 10:13:45, Cycletime ,Code , 99 ,Info , Sation:5 Boren Type:6 |Time:217.30 
2016-10-11, 10:22:41, Cycletime ,Code , 99 ,Info , Sation:5 Frezen Type:6 |Time:535.76 
2016-10-11, 10:23:25, mBuffer ,Code , 5 ,Info , Buffer:6 Vol (target) 
2016-10-11, 10:23:25, Cycletime ,Code , 99 ,Info , Ontlaad Station:5 naar buffer:6 |Time:44.21 
2016-10-11, 13:48:23, Main ,Code , 18 ,Info , PP to main 
2016-10-11, 13:50:08, Offset ,Code , 31 ,Info , off:1 x=-2.63 n=-3.66 p=-1.60 P1=-765.65 P2=783.37 
2016-10-11, 13:50:09, Cycletime ,Code , 99 ,Info , Laad Station:1 van Buffer:1 |Time:85.19 
2016-10-11, 13:50:54, Offset ,Code , 31 ,Info , off:2 x=-1.22 n=-1.98 p=-0.47 P1=-767.33 P2=782.24 
2016-10-11, 13:50:55, Cycletime ,Code , 99 ,Info , Laad Station:2 van Buffer:1 |Time:45.70 
2016-10-11, 13:51:44, Offset ,Code , 31 ,Info , off:3 x=-1.12 n=-1.74 p=-0.51 P1=-767.57 P2=782.28 
2016-10-11, 13:51:45, Cycletime ,Code , 99 ,Info , Laad Station:3 van Buffer:1 |Time:50.52 
2016-10-11, 13:52:42, Offset ,Code , 31 ,Info , off:4 x=-1.09 n=-1.65 p=-0.53 P1=-767.67 P2=782.31 
2016-10-11, 13:52:42, Cycletime ,Code , 99 ,Info , Laad Station:4 van Buffer:1 |Time:57.31 
2016-10-11, 13:57:25, Cycletime ,Code , 99 ,Info , Sation:1 Boren Type:4 |Time:282.88 
2016-10-11, 14:01:55, Cycletime ,Code , 99 ,Info , Sation:2 Boren Type:4 |Time:269.22 
2016-10-11, 14:05:39, Cycletime ,Code , 99 ,Info , Sation:3 Boren Type:4 |Time:224.17 
2016-10-11, 14:09:23, Cycletime ,Code , 99 ,Info , Sation:4 Boren Type:4 |Time:224.35 
2016-10-11, 14:12:01, Cycletime ,Code , 99 ,Info , Sation:1 Frezen Type:4 |Time:157.79 
2016-10-11, 14:14:10, Cycletime ,Code , 99 ,Info , Sation:2 Frezen Type:4 |Time:128.99 
2016-10-11, 14:16:19, Cycletime ,Code , 99 ,Info , Sation:3 Frezen Type:4 |Time:128.87 
2016-10-11, 14:18:28, Cycletime ,Code , 99 ,Info , Sation:4 Frezen Type:4 |Time:128.82 
2016-10-11, 14:20:21, Cycletime ,Code , 99 ,Info , Ontlaad Station:4 naar buffer:1 |Time:36.01 
2016-10-11, 14:20:51, Cycletime ,Code , 99 ,Info , Ontlaad Station:3 naar buffer:1 |Time:30.42 
2016-10-11, 14:21:16, Cycletime ,Code , 99 ,Info , Ontlaad Station:2 naar buffer:1 |Time:24.47 
2016-10-11, 14:21:35, Cycletime ,Code , 99 ,Info , Ontlaad Station:1 naar buffer:1 |Time:19.77 
2016-10-11, 14:22:18, Offset ,Code , 31 ,Info , off:1 x=-1.09 n=-1.69 p=-0.50 P1=-767.63 P2=782.28 
2016-10-11, 14:22:18, Cycletime ,Code , 99 ,Info , Laad Station:1 van Buffer:1 |Time:42.70 
